香港 Smart,#genre#
电影频道|Warner TV,http://IP:Port/Smart.php?id=WarnerTV
电影频道|卫视电影台,http://IP:Port/Smart.php?id=weishimovie_twn
电影频道|HBO HD,http://IP:Port/Smart.php?id=Hbo
电影频道|美亚电影,http://IP:Port/Smart.php?id=meiyamovie_twn
电影频道|HBO Signature,http://IP:Port/Smart.php?id=Hbosignature
电影频道|HBO Hits,http://IP:Port/Smart.php?id=Hbohitshd
电影频道|星卫电影,http://IP:Port/Smart.php?id=xingwei_movie
电影频道|SCM,http://IP:Port/Smart.php?id=Weishimovie
电影频道|Dreamworks,http://IP:Port/Smart.php?id=Dreamworks
电影频道|Thrill,http://IP:Port/Smart.php?id=Thrill
电影频道|Hits Movie,http://IP:Port/Smart.php?id=Hitsmovie
电影频道|One,http://IP:Port/Smart.php?id=One
电影频道|tvN Movie,http://IP:Port/Smart.php?id=Tvnmovie
电影频道|Celestial Classic,http://IP:Port/Smart.php?id=Celestial2
电影频道|Celestial Movies HD,http://IP:Port/Smart.php?id=Celestialindo
电影频道|Axn HD,http://IP:Port/Smart.php?id=Axn
电影频道|Paramount Network,http://IP:Port/Smart.php?id=Paramountnetwork
电影频道|Astrol Kplus,http://IP:Port/Smart.php?id=Kplus
电影频道|Rock Actions,http://IP:Port/Smart.php?id=Rockaction
电影频道|Rock Entertainment,http://IP:Port/Smart.php?id=Rockentertain

纪录频道|Natgeo_HD,http://IP:Port/Smart.php?id=natgeohd_twn
纪录频道|NatGeo_Wild HD,http://IP:Port/Smart.php?id=natgeowild_twn
纪录频道|Animal_Planet,http://IP:Port/Smart.php?id=animalplanet_twn
纪录频道|Discovery Asia,http://IP:Port/Smart.php?id=discoverytwn_twn
纪录频道|CI,http://IP:Port/Smart.php?id=ci_twn
纪录频道|Asia Travel,http://IP:Port/Smart.php?id=asiatravel_twn
纪录频道|Discovery HD,http://IP:Port/Smart.php?id=discoveryhd_twn
纪录频道|亚洲美食,http://IP:Port/Smart.php?id=afc_twn
纪录频道|美食星球,http://IP:Port/Smart.php?id=foodplanet_twn
纪录频道|亚洲旅游 TLC Asia,http://IP:Port/Smart.php?id=tlc_twn
纪录频道|NatGeo HD,http://IP:Port/Smart.php?id=Natgeo
纪录频道|Fashion TV,http://IP:Port/Smart.php?id=fashiontv_twn
纪录频道|History,http://IP:Port/Smart.php?id=History
纪录频道|BBC Earth HD,http://IP:Port/Smart.php?id=bbcearth_twn
纪录频道|BBC Earth Lifestyle,http://IP:Port/Smart.php?id=bbclifestyle_twn
纪录频道|MTV Live,http://IP:Port/Smart.php?id=mtvhd_twn
纪录频道|NatGeo Wild HD,http://IP:Port/Smart.php?id=Natgeowild
纪录频道|Animal Planet (Eng),http://IP:Port/Smart.php?id=AnimalPlanet
纪录频道|TLC,http://IP:Port/Smart.php?id=Tlc
纪录频道|Foodnetwork Hd,http://IP:Port/Smart.php?id=Foodnetwork
纪录频道|HGTV,http://IP:Port/Smart.php?id=HGTV
纪录频道|AFC 亚洲旅游台,http://IP:Port/Smart.php?id=asiatravel_twn

新闻频道|Skynews,http://IP:Port/Smart.php?id=skynews_twn
新闻频道|ABC News,http://IP:Port/Smart.php?id=abcnews_glo
新闻频道|东森财经新闻 ETTV Business,http://IP:Port/Smart.php?id=ettvcaijing_twn
新闻频道|CBS HD,http://IP:Port/Smart.php?id=cbshd_glo
新闻频道|CBSN HD,http://IP:Port/Smart.php?id=cbsn_glo
新闻频道|France 24,http://IP:Port/Smart.php?id=france24_twn
新闻频道|DW (Deutsch),http://IP:Port/Smart.php?id=dw_twn
新闻频道|NHK World,http://IP:Port/Smart.php?id=nhkworld_japan
新闻频道|Fox News,http://IP:Port/Smart.php?id=foxnews_twn
新闻频道|CGTN,http://IP:Port/Smart.php?id=CGTN
新闻频道|CNN International,http://IP:Port/Smart.php?id=Cnn
新闻频道|CNN backup,http://IP:Port/Smart.php?id=cnn_twn
新闻频道|CNBC,http://IP:Port/Smart.php?id=cnbc_twn
新闻频道|CNA,http://IP:Port/Smart.php?id=cna
新闻频道|BBC World News,http://IP:Port/Smart.php?id=bbcnews_twn
新闻频道|BBC World News,http://IP:Port/Smart.php?id=Bbcnews
新闻频道|Bloomberg News,http://IP:Port/Smart.php?id=bloomberg_twn
新闻频道|Al-Jazeera,http://IP:Port/Smart.php?id=aljazeera_twn

儿童频道|Baby TV Eng,http://IP:Port/Smart.php?id=Babytv
儿童频道|CBeebies,http://IP:Port/Smart.php?id=Cbeebies
儿童频道|Kids TV,http://IP:Port/Smart.php?id=KidsTV
儿童频道|Momo TV,http://IP:Port/Smart.php?id=momo1_twn
儿童频道|Animax,http://IP:Port/Smart.php?id=Animax
儿童频道|Baby TV,http://IP:Port/Smart.php?id=babytv_twn
儿童频道|MiaoMi,http://IP:Port/Smart.php?id=MiaoMi
儿童频道|靖天卡通台,http://IP:Port/Smart.php?id=jingtiancartoon_twn
儿童频道|东森幼幼 Yoyo TV,http://IP:Port/Smart.php?id=yoyo_twn
儿童频道|Cartoon Network,http://IP:Port/Smart.php?id=Cn
儿童频道|Nickelodeon,http://IP:Port/Smart.php?id=Nickelodeon
儿童频道|Nick Jr,http://IP:Port/Smart.php?id=Nickjr

新加坡|Channel 5,http://IP:Port/Smart.php?id=Channel5HD
新加坡|Channel 8,http://IP:Port/Smart.php?id=Channel8HD
新加坡|Suria,http://IP:Port/Smart.php?id=Suria
新加坡|Channel U,http://IP:Port/Smart.php?id=ChannelU
新加坡|Vasantham,http://IP:Port/Smart.php?id=Vasantham
新加坡|CNA,http://IP:Port/Smart.php?id=cna
新加坡|CNA backup,http://IP:Port/Smart.php?id=cna_twn
新加坡|MeWatch Ch 5,http://IP:Port/Smart.php?id=Mewatch_ch5
新加坡|MeWatch Ch 8,http://IP:Port/Smart.php?id=Mewatch_ch8
