香港 Smart,#genre#
印度|Asianet,http://IP:Port/Smart.php?id=asianet_raj
印度|Asianet News,http://IP:Port/Smart.php?id=asianetnews_raj
印度|Discovery World Tamil,http://IP:Port/Smart.php?id=discoveryworldtam_raj
印度|History Tamil,http://IP:Port/Smart.php?id=historytam_raj
印度|NatGeo Tamil,http://IP:Port/Smart.php?id=natgeotamil_raj
印度|Natgeo Wild Tamil,http://IP:Port/Smart.php?id=natgeowildtamil_raj
印度|Astro Sonypix,http://IP:Port/Smart.php?id=Asonypix
印度|Discovery Kids Tamil,http://IP:Port/Smart.php?id=discoverykidtamil_raj
印度|Discovery Tamil,http://IP:Port/Smart.php?id=discoverytamil_raj
印度|Sony Yay Tamil,http://IP:Port/Smart.php?id=sonyyaytam_raj
印度|Sun TV India,http://IP:Port/Smart.php?id=suntv_raj
印度|Starmaa HD,http://IP:Port/Smart.php?id=starmaa_raj
印度|Starmaa Movies HD,http://IP:Port/Smart.php?id=starmaamovies_raj
印度|Bollyone,http://IP:Port/Smart.php?id=Bollyone
印度|Astro Sunmusic,http://IP:Port/Smart.php?id=Sunmusic
印度|Vijay Super,http://IP:Port/Smart.php?id=vijaysuper_raj
印度|Vellithirai,http://IP:Port/Smart.php?id=Vellithirai

泰国|Channel 3 Thailand,http://IP:Port/Smart.php?id=ch3_pat
泰国|Channel 5 Thailand,http://IP:Port/Smart.php?id=ch5_pat
泰国|Channel 7 Thailand,http://IP:Port/Smart.php?id=ch7_pat
泰国|MCOT HD Thailand-1,http://IP:Port/Smart.php?id=mcot_pat
泰国|PPTV Thailand1,http://IP:Port/Smart.php?id=pptv_pat
泰国|Thai Thai,http://IP:Port/Smart.php?id=thaithai_pat
泰国|Amarin,http://IP:Port/Smart.php?id=amarin_pat
泰国|Ch 8,http://IP:Port/Smart.php?id=ch8_pat
泰国|GmmOne,http://IP:Port/Smart.php?id=gmmone_pat
泰国|Mono,http://IP:Port/Smart.php?id=mono_pat
泰国|Thairath,http://IP:Port/Smart.php?id=thairath_pat
泰国|tpbs,http://IP:Port/Smart.php?id=tpbs_pat
泰国|Workpoint,http://IP:Port/Smart.php?id=workpoint_pat
泰国|Gmm Channel,http://IP:Port/Smart.php?id=gmmchannel_pat
泰国|Nation,http://IP:Port/Smart.php?id=nation_pat
泰国|Tnn24,http://IP:Port/Smart.php?id=tnn24_pat
泰国|Nbt,http://IP:Port/Smart.php?id=nbt_pat
泰国|New,http://IP:Port/Smart.php?id=new_pat
泰国|TPTV,http://IP:Port/Smart.php?id=tptv_pat

英国|BBC 1,http://IP:Port/Smart.php?id=bbc1_antik
英国|BBC 2,http://IP:Port/Smart.php?id=bbc2_antik
英国|CBBC,http://IP:Port/Smart.php?id=cbbc_antik
英国|More4,http://IP:Port/Smart.php?id=more4_antik
英国|Freesports,http://IP:Port/Smart.php?id=freesports_antik
英国|Skynews,http://IP:Port/Smart.php?id=skynews_twn
英国|Pick TV,http://IP:Port/Smart.php?id=picktv_antik
英国|itv 1,http://IP:Port/Smart.php?id=itv1_antik
英国|itv 2,http://IP:Port/Smart.php?id=itv2_antik
英国|Euronews,http://IP:Port/Smart.php?id=euronews_antik
英国|Channel 4,http://IP:Port/Smart.php?id=channel4_antik
英国|NatGeo HD,http://IP:Port/Smart.php?id=Natgeo
英国|CBeebies,http://IP:Port/Smart.php?id=Cbeebies
英国|History,http://IP:Port/Smart.php?id=History
英国|Kids TV,http://IP:Port/Smart.php?id=KidsTV
英国|France 24,http://IP:Port/Smart.php?id=france24_twn
英国|DW (Deutsch),http://IP:Port/Smart.php?id=dw_twn
英国|BBC Earth HD,http://IP:Port/Smart.php?id=bbcearth_twn
英国|BBC Earth Lifestyle,http://IP:Port/Smart.php?id=bbclifestyle_twn
英国|MTV Live,http://IP:Port/Smart.php?id=mtvhd_twn
英国|Star Movies HD,http://IP:Port/Smart.php?id=starmovies_raj
英国|NHK World,http://IP:Port/Smart.php?id=nhkworld_japan
英国|Warner TV,http://IP:Port/Smart.php?id=WarnerTV
英国|HBO HD,http://IP:Port/Smart.php?id=Hbo
英国|NatGeo Wild HD,http://IP:Port/Smart.php?id=Natgeowild
英国|Nickelodeon,http://IP:Port/Smart.php?id=Nickelodeon
英国|Nick Jr,http://IP:Port/Smart.php?id=Nickjr
英国|Thrill,http://IP:Port/Smart.php?id=Thrill
英国|CGTN,http://IP:Port/Smart.php?id=CGTN
英国|Hits Movie,http://IP:Port/Smart.php?id=Hitsmovie
英国|Animal Planet (Eng),http://IP:Port/Smart.php?id=AnimalPlanet
英国|CNBC,http://IP:Port/Smart.php?id=cnbc_twn
英国|TLC,http://IP:Port/Smart.php?id=Tlc
英国|BBC World News,http://IP:Port/Smart.php?id=bbcworldnews_antik
英国|HGTV,http://IP:Port/Smart.php?id=HGTV
英国|Axn HD,http://IP:Port/Smart.php?id=Axn
英国|Skysports F1,http://IP:Port/Smart.php?id=tiankongf1
英国|Skysports Cricket,http://IP:Port/Smart.php?id=tiankongcricket
英国|Bloomberg News,http://IP:Port/Smart.php?id=bloomberg_twn
英国|Skysports EPL,http://IP:Port/Smart.php?id=tiankongepl
英国|Skysports Main Event,http://IP:Port/Smart.php?id=tiankongmain
英国|Skysports News,http://IP:Port/Smart.php?id=tiankongnews
英国|Al-Jazeera,http://IP:Port/Smart.php?id=aljazeera_twn

越南|ANTV,http://IP:Port/Smart.php?id=viet_antv
越南|VTV 1,http://IP:Port/Smart.php?id=viet_vtv1
越南|VTV 7,http://IP:Port/Smart.php?id=viet_vtv7
越南|HTV 7,http://IP:Port/Smart.php?id=viet_htv7
越南|HTV 9,http://IP:Port/Smart.php?id=viet_htv9
越南|BPTV 2,http://IP:Port/Smart.php?id=viet_bptv2
越南|BRT HD,http://IP:Port/Smart.php?id=viet_brt
越南|Ca Mau TV,http://IP:Port/Smart.php?id=viet_camautv
越南|Danang TV1 HD,http://IP:Port/Smart.php?id=viet_danangtv1
越南|Danang TV2 HD,http://IP:Port/Smart.php?id=viet_danangtv2
越南|HBTV HD,http://IP:Port/Smart.php?id=viet_hbtv
越南|PTTH 1,http://IP:Port/Smart.php?id=viet_ptth1

韩国|Arirang HD,http://IP:Port/Smart.php?id=arirang_korea
韩国|Yonhap News,http://IP:Port/Smart.php?id=yonhapnews_korea
韩国|CBS,http://IP:Port/Smart.php?id=cbs_korea
韩国|EBS 1,http://IP:Port/Smart.php?id=ebs1_korea
韩国|EBS2,http://IP:Port/Smart.php?id=ebs2_korea
韩国|EBS Plus2,http://IP:Port/Smart.php?id=ebsplus2_korea
韩国|SBS Plus,http://IP:Port/Smart.php?id=sbsplus_korea
韩国|YTN,http://IP:Port/Smart.php?id=ytn_korea
韩国|KBS World 24,http://IP:Port/Smart.php?id=kbsworld24_korea
韩国|YTN Science,http://IP:Port/Smart.php?id=ytnscience_korea
韩国|YTN Korean,http://IP:Port/Smart.php?id=ytnkorean_korea
韩国|YTN DMB,http://IP:Port/Smart.php?id=ytndmb_korea
韩国|Apps TV,http://IP:Port/Smart.php?id=appongoogle_korea
韩国|All the Kpop,http://IP:Port/Smart.php?id=allthekpop_korea
韩国|J the Kpop,http://IP:Port/Smart.php?id=jthekpop_korea
韩国|EBS Kids,http://IP:Port/Smart.php?id=ebskids_korea
韩国|CGNTV,http://IP:Port/Smart.php?id=cgntv_korea

日本|NHK-総合-2,http://IP:Port/Smart.php?id=nhkg_japan
日本|NHK-E,http://IP:Port/Smart.php?id=nhke_japan
日本|テレビ朝日 Asahi TV,http://IP:Port/Smart.php?id=asahitv_japan
日本|JET 綜合,http://IP:Port/Smart.php?id=jettv_japan
日本|テレビ東京 Tokyo TV,http://IP:Port/Smart.php?id=tokyotv_japan
日本|TOKYOMX,http://IP:Port/Smart.php?id=tokyomx_japan
日本|NHKBS1,http://IP:Port/Smart.php?id=nhkbs1_japan
日本|NHKBSプレミア Premium,http://IP:Port/Smart.php?id=nhkpremium_japan
日本|BSジャパン 181,http://IP:Port/Smart.php?id=bs181_japan
日本|BSフジ BS Fuji,http://IP:Port/Smart.php?id=bsfuji_japan
日本|CNA Japan,http://IP:Port/Smart.php?id=cna_japan
日本|BS-TBS,http://IP:Port/Smart.php?id=bstbs_japan
日本|NHK Oaska,http://IP:Port/Smart.php?id=nhkosaka_japan
日本|NHK World,http://IP:Port/Smart.php?id=nhkworld_japan
